book_id,author,desc,genre,isbn,isbn13,link,pages,rating,reviews,title,totalratings,title_clean,author_clean,bookformat_clean,genres_list,desc_clean,word_count
20385,"Victor Skrebneski,Victor Skrebneski","Illustrated with Victor Skrebneski's closeups of the master couturiers' finest creations, this sumptuous volume goes behind the seams to reveal the exquisite details and special techniques that raise fashion to the level of true art. The book examines the ingenious ways couturiers work with line, texture, and ornament to create sweep and volume, draping and pleating, illusion, and drama. All of the major designers of the twentieth century are represented, including Adolfo, Balenciaga, Balmain, Geoffrey Beene, Chanel, Dior, Erte for Poiret, Louis Feraud, Ferre, Galanos, Givenchy, Lacroix, Lagerfeld, Lanvin, Laroche, Claude Montana, Nina Ricci, Yves Saint Laurent, Scaasi, Schiaparelli, Ungaro, Valentino, Versace, and Vera Wang. With an illuminating text by Laura Jacobs and quotes from the couturiers themselves as well as from some of their celebrated clients.","Couture,Fashion,Art",789200228,9.78E+12,https://goodreads.com/book/show/1455361.The_Art_of_Haute_Couture,175.0,4.14,0,The Art of Haute Couture,7,the art of haute couture,"victor skrebneski,victor skrebneski",Hardcover,"['couture', 'fashion', 'art']",illustrated with victor skrebneski s closeups of the master couturiers finest creations this sumptuous volume goes behind the seams to reveal the exquisite details and special techniques that raise fashion to the level of true art the book examines the ingenious ways couturiers work with line texture and ornament to create sweep and volume draping and pleating illusion and drama all of the major designers of the twentieth century are represented including adolfo balenciaga balmain geoffrey beene chanel dior erte for poiret louis feraud ferre galanos givenchy lacroix lagerfeld lanvin laroche claude montana nina ricci yves saint laurent scaasi schiaparelli ungaro valentino versace and vera wang with an illuminating text by laura jacobs and quotes from the couturiers themselves as well as from some of their celebrated clients,128
17418,Martin A.  Miller,"Why is it that terrorism has become such a central factor in our lives despite all the efforts to eradicate it? Ranging from early modern Europe to the contemporary Middle East, Martin Miller reveals the foundations of modern terrorism. He argues that the French Revolution was a watershed moment as it was then that ordinary citizens first claimed the right to govern. The traditional notion of state legitimacy was forever altered and terrorism became part of a violent contest over control of state power between officials in government and insurgents in society. In the nineteenth and twentieth centuries terrorism evolved into a way of seeing the world and a way of life for both insurgents and state security forces with the two sides drawn ever closer in their behaviour and tactics. This is a groundbreaking history of terrorism which, for the first time, integrates the violence of governments and insurgencies.","War,Terrorism",113960385X,9.78E+12,https://goodreads.com/book/show/17137531-the-foundations-of-modern-terrorism,270.0,3.76,1,"The Foundations of Modern Terrorism: State, Society and the Dynamics of Political Violence",17,"the foundations of modern terrorism: state, society and the dynamics of political violence",martin a.  miller,Ebook,"['war', 'terrorism']",why is it that terrorism has become such a central factor in our lives despite all the efforts to eradicate it ranging from early modern europe to the contemporary middle east martin miller reveals the foundations of modern terrorism he argues that the french revolution was a watershed moment as it was then that ordinary citizens first claimed the right to govern the traditional notion of state legitimacy was forever altered and terrorism became part of a violent contest over control of state power between officials in government and insurgents in society in the nineteenth and twentieth centuries terrorism evolved into a way of seeing the world and a way of life for both insurgents and state security forces with the two sides drawn ever closer in their behaviour and tactics this is a groundbreaking history of terrorism which for the first time integrates the violence of governments and insurgencies,150
3525,Pamela A. Sambrook,"Until the eighteenth century or even later, beer was the staple drink of most men and women at all levels of society. Tea and coffee were expensive luxuries while water might well carry disease. To supply the needs of both owners and servants, every country house with an accessible source of water had a brewhouse, usually close at hand. Although many of the brewhouses still stand, in some cases with the original brewing vessels (as at Lacock and Charlecote), their habitual conversion to other uses has allowed them to be ignored. Yet they are distinctive buildings - as much part of a country house as an ice-house or stables - which need both to be recognised and preserved.,The scale of brewing in country houses, which went on to a surprisingly late date in the nineteenth century (with odd survivals, such as Hickleton in Yorkshire, into the twentieth), was often considerable, if small besides that of commercial brewing. Copious records for both brewing and consumption exist. Pamela Sambrook describes the brewing equipment, such as coppers, mash tuns underbacks and coolers; the types of beers brewed, from strong ale to small beer and how they were kept; and the brewers themselves, their skills and attitudes.,English Country House Brewing, 1500-1900, shows the role beer played in the life of the country house, with beer allowances and beer money an integral part of servants' rewards. Generous allowances were made for arduous tasks, such as harvesting. For celebrations, such as the heir's coming of age, extra-strong ale was provided. This book, which is heavily illustrated, is an important and original contribution to architectural, brewing and social history.","Alcohol,Beer,History",1852851279,9.78E+12,https://goodreads.com/book/show/1714952.Country_House_Brewing_in_England_1500_1900,332.0,4.0,0,"Country House Brewing in England, 1500-1900",7,"country house brewing in england, 1500-1900",pamela a. sambrook,Hardcover,"['alcohol', 'beer', 'history']",until the eighteenth century or even later beer was the staple drink of most men and women at all levels of society tea and coffee were expensive luxuries while water might well carry disease to supply the needs of both owners and servants every country house with an accessible source of water had a brewhouse usually close at hand although many of the brewhouses still stand in some cases with the original brewing vessels as at lacock and charlecote their habitual conversion to other uses has allowed them to be ignored yet they are distinctive buildings as much part of a country house as an ice house or stables which need both to be recognised and preserved the scale of brewing in country houses which went on to a surprisingly late date in the nineteenth century with odd survivals such as hickleton in yorkshire into the twentieth was often considerable if small besides that of commercial brewing copious records for both brewing and consumption exist pamela sambrook describes the brewing equipment such as coppers mash tuns underbacks and coolers the types of beers brewed from strong ale to small beer and how they were kept and the brewers themselves their skills and attitudes english country house brewing 1500 1900 shows the role beer played in the life of the country house with beer allowances and beer money an integral part of servants rewards generous allowances were made for arduous tasks such as harvesting for celebrations such as the heir s coming of age extra strong ale was provided this book which is heavily illustrated is an important and original contribution to architectural brewing and social history,276
6740,Linda L. Ernst,"This innovative, comprehensive resource will help you stimulate the minds of your youngest patrons with rhymes, songs, books, and other creative activities. Through researching the latest in early learner and developmental theories to provide children s librarians with the best knowledge possible, Linda Ernst carefully details the physical, mental, emotional, and social development of children 12 to 24 months. She also guides you through doing more effective outreach to all segments of your community, building and maintaining effective partnerships, and seeking funding for early childhood services. Best practices for program development are found throughout this manual. The multimedia CD companion to the book provides further ideas and instructional techniques not featured in the book, as well as excellent marketing scripts and recordings. Storytimes, rhymes, songs, fingerplays, and other activities in this text and companion multimedia CD offer the intellectual stimulation that young toddlers need to grow into future library lovers. The engaging materials and methods in this book are invaluable for experienced children s librarians looking for new ideas or new librarians starting to build their own program for the very young. This is not just a sourcebook or a reference, but a complete multimedia guide to for the very best lapsit programming possible.","Science,Library Science",1555707610,9.78E+12,https://goodreads.com/book/show/14431761-the-essential-lapsit-guide-an-multimedia-how-to-do-it-manual-and-program,276.0,3.67,0,The Essential Lapsit Guide an Multimedia How-To-Do-It Manual and Programming Guide for Stimulating Literacy Development from 12 to 24 Months,3,the essential lapsit guide an multimedia how-to-do-it manual and programming guide for stimulating literacy development from 12 to 24 months,linda l. ernst,Paperback,"['science', 'library science']",this innovative comprehensive resource will help you stimulate the minds of your youngest patrons with rhymes songs books and other creative activities through researching the latest in early learner and developmental theories to provide children s librarians with the best knowledge possible linda ernst carefully details the physical mental emotional and social development of children 12 to 24 months she also guides you through doing more effective outreach to all segments of your community building and maintaining effective partnerships and seeking funding for early childhood services best practices for program development are found throughout this manual the multimedia cd companion to the book provides further ideas and instructional techniques not featured in the book as well as excellent marketing scripts and recordings storytimes rhymes songs fingerplays and other activities in this text and companion multimedia cd offer the intellectual stimulation that young toddlers need to grow into future library lovers the engaging materials and methods in this book are invaluable for experienced children s librarians looking for new ideas or new librarians starting to build their own program for the very young this is not just a sourcebook or a reference but a complete multimedia guide to for the very best lapsit programming possible,204
4745,Alan Bjerga,"How to understand the twenty-first century food crisis, Since 2007, farm-product prices have rocketed and plunged, causing hunger, malnutrition, and social and political upheaval around the world. ,Endless Appetites, explores how food security, the availability of food and the reasonable ability to buy it, has become one of the most challenging topics of our time. With every jump in grocery-store prices, the issue becomes more and more pressing, proven by this year's record increase in food prices, which has already topped the spike of 2008.,Award-winning commodities reporter Alan Bjerga explains the food crisis and why it is happening in an accessible, articulate manner Why is this happening when more food is being grown than ever? Why are crop markets?first established in the 1800's to help stabilize agricultural commodity prices?acting like an investors' casino, with prices absorbed by rich nations taking food from the mouths of the poor? From college campuses to emergency UN meetings, food security is one of the hottest topics of the day, with no shortage of interest in how to stabilize food prices worldwide to close the hunger gap To understand the growing international food crisis, readers need an expert they can rely on. One of the most widely acclaimed journalists on food security, Alan Bjerga is up to the task, taking readers from the trading floor of Chicago to the highlands of East Africa to the rice paddies of Thailand on a global trek to find the causes of the food-price crisis?and the solutions.","Food and Drink,Food",1118043235,9.78E+12,https://goodreads.com/book/show/12898732-endless-appetites,196.0,3.75,4,Endless Appetites: How the Commodities Casino Creates Hunger and Unrest,20,endless appetites: how the commodities casino creates hunger and unrest,alan bjerga,Hardcover,"['food and drink', 'food']",how to understand the twenty first century food crisis since 2007 farm product prices have rocketed and plunged causing hunger malnutrition and social and political upheaval around the world endless appetites explores how food security the availability of food and the reasonable ability to buy it has become one of the most challenging topics of our time with every jump in grocery store prices the issue becomes more and more pressing proven by this year s record increase in food prices which has already topped the spike of 2008 award winning commodities reporter alan bjerga explains the food crisis and why it is happening in an accessible articulate manner why is this happening when more food is being grown than ever why are crop markets first established in the 1800 s to help stabilize agricultural commodity prices acting like an investors casino with prices absorbed by rich nations taking food from the mouths of the poor from college campuses to emergency un meetings food security is one of the hottest topics of the day with no shortage of interest in how to stabilize food prices worldwide to close the hunger gap to understand the growing international food crisis readers need an expert they can rely on one of the most widely acclaimed journalists on food security alan bjerga is up to the task taking readers from the trading floor of chicago to the highlands of east africa to the rice paddies of thailand on a global trek to find the causes of the food price crisis and the solutions,259
21898,Cristina Kessler,"When Jodie's mother decides to move to West Africa, Jodie's world seems like it is being turned upside-down. But when Jodie arrives in Bukama, the small African village in Sierra Leone where they are going to live, a young girl emerges from the crowd to greet her. She is Khadi, and she is to become Jodie's closest friend. Until Jodie watches the entire village break into a wild dance -- including Khadi, who begins to disappear from the village. ""Secret Society, Jodie. Stay away from it, "" her mother warns her. The secret society, Sande, involves the genital mutilation of young girls. It is a dangerous ritual -- one that could cost Khadi her life, and Jodie decides to try to save her friend. But Jodie is messing with a sacred cultural taboo that could threaten her very place in the village -- and her mother's as well.","Young Adult,Novels",399234861,9.78E+12,https://goodreads.com/book/show/1115564.No_Condition_Is_Permanent,183.0,3.88,2,No Condition Is Permanent,26,no condition is permanent,cristina kessler,Hardcover,"['young adult', 'novels']",when jodie s mother decides to move to west africa jodie s world seems like it is being turned upside down but when jodie arrives in bukama the small african village in sierra leone where they are going to live a young girl emerges from the crowd to greet her she is khadi and she is to become jodie s closest friend until jodie watches the entire village break into a wild dance including khadi who begins to disappear from the village secret society jodie stay away from it her mother warns her the secret society sande involves the genital mutilation of young girls it is a dangerous ritual one that could cost khadi her life and jodie decides to try to save her friend but jodie is messing with a sacred cultural taboo that could threaten her very place in the village and her mother s as well,149
49202,"C. Lee Harrington,Denise D. Bielby","Do soap opera fans deserve their reputation as lonely people, hopeless losers, or bored housewives? This title argues that soap fans are normal individuals who translate their soap watching into a broad range of public and private experience.","Nonfiction,Pop Culture,Fandom",1566393302,9.78E+12,https://goodreads.com/book/show/1525197.Soap_Fans,225.0,3.2,0,Soap Fans: Pursuing Pleasure and Making Meaning in Everyday Life,5,soap fans: pursuing pleasure and making meaning in everyday life,"c. lee harrington,denise d. bielby",Paperback,"['nonfiction', 'pop culture', 'fandom']",do soap opera fans deserve their reputation as lonely people hopeless losers or bored housewives this title argues that soap fans are normal individuals who translate their soap watching into a broad range of public and private experience,38
19117,Richard C. Detmer,"A computer can be viewed from many different levels, and used for many different functions, such as the creation of new application software. However, an actual computer works at an even lower level than this. Introduction to 80x86 Assembly Language and Computer Architecture divides its emphasis between the assembly-language/machine-language level of computer operations and the architectural level, that is, the level defined by the machine instructions that the processor can execute. Although the primary architecture covered is the Intel 80x86 family, each chapter does include information about other architectures, or computer levels. Programmers are expected to program effectively at any level, therefore, Introduction to 80x86 Assembly Language and Computer Architecture is essential to the fundamental principles at the machine level that they will have to understand.","Science,Computer Science,Computer Science,Programming",763717738,9.78E+12,https://goodreads.com/book/show/1602606.Introduction_to_80x86_Assembly_Language_and_Computer_Architecture,,3.36,1,Introduction to 80x86 Assembly Language and Computer Architecture,11,introduction to 80x86 assembly language and computer architecture,richard c. detmer,Hardcover,"['science', 'computer science', 'programming']",a computer can be viewed from many different levels and used for many different functions such as the creation of new application software however an actual computer works at an even lower level than this introduction to 80x86 assembly language and computer architecture divides its emphasis between the assembly language machine language level of computer operations and the architectural level that is the level defined by the machine instructions that the processor can execute although the primary architecture covered is the intel 80x86 family each chapter does include information about other architectures or computer levels programmers are expected to program effectively at any level therefore introduction to 80x86 assembly language and computer architecture is essential to the fundamental principles at the machine level that they will have to understand,129
51518,Matthew Davenport,"Bringing Lovecraftian Tales to the modern age, Barista on the Doorstep follows young coffee slinger Katie as she's pulled into the dark machinations of an old practitioner of the dark arts.","Short Stories,Horror,Lovecraftian",,9.78E+12,https://goodreads.com/book/show/16254535-the-barista-on-the-doorstep,13.0,3.75,1,The Barista on the Doorstep,4,the barista on the doorstep,matthew davenport,Ebook,"['short stories', 'horror', 'lovecraftian']",bringing lovecraftian tales to the modern age barista on the doorstep follows young coffee slinger katie as she s pulled into the dark machinations of an old practitioner of the dark arts,32
35716,"Rick Halpern,Roger Horowitz","Meatpackers provides an important window into race and racism in the American workplace. In their own words, male and female packinghouse workers in the Midwest-mostly African-American-talk of their experiences on the shop floor and picket lines. They tell of their fight between the 1930s and 1960s for economic advancement and racial equality. In cities like Chicago, Kansas City, Omaha, Fort Worth, and Waterloo, Iowa, meatpackers built a union that would defend their interests as workers-and their civil rights.","North American Hi...,American History,History,Labor",158367005X,9.78E+12,https://goodreads.com/book/show/1184655.Meatpackers,162.0,4.15,0,Meatpackers: An Oral History of Black Packinghouse Workers and Their Struggle for Racial and Economic Equality,13,meatpackers: an oral history of black packinghouse workers and their struggle for racial and economic equality,"rick halpern,roger horowitz",Paperback,"['north american hi...', 'american history', 'history', 'labor']",meatpackers provides an important window into race and racism in the american workplace in their own words male and female packinghouse workers in the midwest mostly african american talk of their experiences on the shop floor and picket lines they tell of their fight between the 1930s and 1960s for economic advancement and racial equality in cities like chicago kansas city omaha fort worth and waterloo iowa meatpackers built a union that would defend their interests as workers and their civil rights,82
